"name","n","a1","a2","r","ratio"
"棘",3,6.2482787221397,5.978999351832,13.4538011224079,0.142857142857143
"穀",3,5.94409276679212,5.67481339648442,13.4538011224079,0.142857142857143
"贼",6,5.63990681144453,5.10134807082914,26.8466531635311,0.285714285714286
"马",5,5.06644148578926,4.61764253527643,22.3928952206616,0.238095238095238
"蟊",4,4.58273595023654,4.22369678982628,17.9278617806867,0.19047619047619
