"subsection","n","a1","a2","opacity","cx","cy"
"閔予小子之什",11,0,0.863937979737193,0.5,133.631562258611,463.75
"臣工之什",10,0.863937979737193,1.64933614313464,0.5,133.631562258611,463.75
"清廟之什",10,1.64933614313464,2.43473430653209,0.5,133.631562258611,463.75
