"node","sum","dy","height","rectWidth","dr","EngName","dx","color","image"
"雅",105,68,98.4375,90,56.5907646921077,"Odes and Epics",150,"#C69480","/data/雅.png"
"風",160,203.333333333333,150,90,0,"Songs",225,"#73747E","/data/风.png"
"頌",40,445,37.5,90,72.6184377413891,"Hymns",206.25,"#48685B","/data/颂.png"
