"node","sum","dy","height"
"哀",62,10,49.8032786885246
"愛",42,64.8032786885246,33.7377049180328
"惡",24,103.540983606557,19.2786885245902
"懼",5,127.819672131148,4.01639344262295
"怒",19,136.83606557377,15.2622950819672
"喜",44,157.098360655738,35.344262295082
"欲",9,197.44262295082,7.22950819672131
"中性",100,209.672131147541,80.327868852459
