"r","op","fill","a1","a2","height","r2","r1"
0.0454545454545455,0.8,"#C3C8BA",0,0.179292914068508,4.16666666666667,100,95.8333333333333
0.0909090909090909,0.8,"#3D646E",0.214199499108395,0.572785327245412,8.33333333333333,100,91.6666666666667
0.136363636363636,0.8,"#638083",0.607691912285298,1.14557065449082,12.5,100,87.5
0.181818181818182,0.8,"#93A49E",1.18047723953071,1.89764889580474,16.6666666666667,100,83.3333333333333
0.227272727272727,0.8,"#DAA36C",1.93255548084463,2.82902005118717,20.8333333333333,100,79.1666666666667
0.136363636363636,0.8,"#ECE3C1",2.86392663622706,3.40180537843258,12.5,100,87.5
0.136363636363636,0.8,"#D7955B",3.43671196347247,3.974590705678,12.5,100,87.5
0.0454545454545455,0.8,"#E7C59D",4.00949729071788,4.18879020478639,4.16666666666667,100,95.8333333333333
1,0.7,"#A8B0AF",0,0.179292914068508,4.16666666666667,95.8333333333333,91.6666666666667
1,0.85,"#A8B0AF",0.214199499108395,0.572785327245412,8.33333333333333,91.6666666666667,83.3333333333333
0.333333333333333,0.7,"#A8B0AF",0.607691912285298,0.786984826353807,4.16666666666667,87.5,83.3333333333333
0.666666666666667,0.85,"#A8B0AF",0.786984826353807,1.14557065449082,8.33333333333333,87.5,79.1666666666667
0.25,0.7,"#A8B0AF",1.18047723953071,1.35977015359922,4.16666666666667,83.3333333333333,79.1666666666667
0.75,1,"#A8B0AF",1.35977015359922,1.89764889580474,12.5,83.3333333333333,70.8333333333333
0.2,0.7,"#A8B0AF",1.93255548084463,2.11184839491314,4.16666666666667,79.1666666666667,75
0.2,0.7,"#A8B0AF",2.11184839491314,2.29114130898165,4.16666666666667,79.1666666666667,75
0.4,0.85,"#A8B0AF",2.29114130898165,2.64972713711866,8.33333333333333,79.1666666666667,70.8333333333333
0.2,0.7,"#A8B0AF",2.64972713711866,2.82902005118717,4.16666666666667,79.1666666666667,75
0.666666666666667,0.85,"#A8B0AF",2.86392663622706,3.22251246436408,8.33333333333333,87.5,79.1666666666667
0.333333333333333,0.7,"#A8B0AF",3.22251246436408,3.40180537843258,4.16666666666667,87.5,83.3333333333333
0.666666666666667,0.85,"#A8B0AF",3.43671196347247,3.79529779160949,8.33333333333333,87.5,79.1666666666667
0.333333333333333,0.7,"#A8B0AF",3.79529779160949,3.974590705678,4.16666666666667,87.5,83.3333333333333
1,0.7,"#A8B0AF",4.00949729071788,4.18879020478639,4.16666666666667,95.8333333333333,91.6666666666667
1,0.7,"#B2B3B7",0,0.179292914068508,4.16666666666667,91.6666666666667,87.5
1,1,"#B2B3B7",0.214199499108395,0.572785327245412,8.33333333333333,83.3333333333333,75
1,0.7,"#B2B3B7",0.607691912285298,0.786984826353807,4.16666666666667,83.3333333333333,79.1666666666667
0.5,0.7,"#B2B3B7",0.786984826353807,0.966277740422315,4.16666666666667,79.1666666666667,75
0.5,0.7,"#B2B3B7",0.966277740422315,1.14557065449082,4.16666666666667,79.1666666666667,75
1,0.7,"#B2B3B7",1.18047723953071,1.35977015359922,4.16666666666667,79.1666666666667,75
0.333333333333333,0.7,"#B2B3B7",1.35977015359922,1.53906306766773,4.16666666666667,70.8333333333333,66.6666666666667
0.666666666666667,1,"#B2B3B7",1.53906306766773,1.89764889580474,8.33333333333333,70.8333333333333,62.5
1,0.7,"#B2B3B7",1.93255548084463,2.11184839491314,4.16666666666667,75,70.8333333333333
1,0.7,"#B2B3B7",2.11184839491314,2.29114130898165,4.16666666666667,75,70.8333333333333
0.5,0.7,"#B2B3B7",2.29114130898165,2.47043422305016,4.16666666666667,70.8333333333333,66.6666666666667
0.5,0.7,"#B2B3B7",2.47043422305016,2.64972713711866,4.16666666666667,70.8333333333333,66.6666666666667
1,0.7,"#B2B3B7",2.64972713711866,2.82902005118717,4.16666666666667,75,70.8333333333333
1,1,"#B2B3B7",2.86392663622706,3.22251246436408,8.33333333333333,79.1666666666667,70.8333333333333
1,0.7,"#B2B3B7",3.22251246436408,3.40180537843258,4.16666666666667,83.3333333333333,79.1666666666667
1,1,"#B2B3B7",3.43671196347247,3.79529779160949,8.33333333333333,79.1666666666667,70.8333333333333
1,0.7,"#B2B3B7",3.79529779160949,3.974590705678,4.16666666666667,83.3333333333333,79.1666666666667
1,0.7,"#B2B3B7",4.00949729071788,4.18879020478639,4.16666666666667,91.6666666666667,87.5
1,0.8,"#73747E",0,0.179292914068508,4.16666666666667,87.5,83.3333333333333
1,0.8,"#73747E",0.214199499108395,0.572785327245412,8.33333333333333,75,66.6666666666667
1,0.8,"#C69480",0.607691912285298,0.786984826353807,4.16666666666667,79.1666666666667,75
1,0.8,"#C69480",0.786984826353807,0.966277740422315,4.16666666666667,75,70.8333333333333
1,0.8,"#73747E",0.966277740422315,1.14557065449082,4.16666666666667,75,70.8333333333333
1,0.8,"#C69480",1.18047723953071,1.35977015359922,4.16666666666667,75,70.8333333333333
0.5,0.8,"#73747E",1.53906306766773,1.71835598173624,4.16666666666667,62.5,58.3333333333333
0.5,0.8,"#C69480",1.71835598173624,1.89764889580474,4.16666666666667,62.5,58.3333333333333
1,0.8,"#C69480",1.35977015359922,1.53906306766773,4.16666666666667,66.6666666666667,62.5
1,0.8,"#73747E",1.93255548084463,2.11184839491314,4.16666666666667,70.8333333333333,66.6666666666667
1,0.8,"#73747E",2.11184839491314,2.29114130898165,4.16666666666667,70.8333333333333,66.6666666666667
1,0.8,"#C69480",2.47043422305016,2.64972713711866,4.16666666666667,66.6666666666667,62.5
