"r","op","fill","a1","a2","height","r2","r1"
0.0416666666666667,0.8,"#3D646E",0,0.165806278939461,2.35294117647059,100,97.6470588235294
0.104166666666667,0.8,"#D7955B",0.200712863979348,0.615228561328001,5.88235294117647,100,94.1176470588235
0.177083333333333,0.8,"#93A49E",0.650135146367888,1.3548118318606,10,100,90
0.447916666666667,0.8,"#ECE3C1",1.38971841690049,3.17213591549969,25.2941176470588,100,74.7058823529412
0.166666666666667,0.8,"#DAA36C",3.20704250053958,3.87026761629743,9.41176470588235,100,90.5882352941177
0.0416666666666667,0.8,"#638083",3.90517420133731,4.07098048027677,2.35294117647059,100,97.6470588235294
0.0208333333333333,0.8,"#E7C59D",4.10588706531666,4.18879020478639,1.17647058823529,100,98.8235294117647
1,0.740909090909091,"#A8B0AF",0,0.165806278939461,2.35294117647059,97.6470588235294,95.2941176470588
0.1,0.7,"#A8B0AF",0.200712863979348,0.242164433714213,0.588235294117647,94.1176470588235,93.5294117647059
0.3,0.727272727272727,"#A8B0AF",0.242164433714213,0.366519142918809,1.76470588235294,94.1176470588235,92.3529411764706
0.3,0.727272727272727,"#A8B0AF",0.366519142918809,0.490873852123405,1.76470588235294,94.1176470588235,92.3529411764706
0.3,0.727272727272727,"#A8B0AF",0.490873852123405,0.615228561328001,1.76470588235294,94.1176470588235,92.3529411764706
0.176470588235294,0.727272727272727,"#A8B0AF",0.650135146367888,0.774489855572484,1.76470588235294,90,88.2352941176471
0.235294117647059,0.740909090909091,"#A8B0AF",0.774489855572484,0.940296134511945,2.35294117647059,90,87.6470588235294
0.352941176470588,0.768181818181818,"#A8B0AF",0.940296134511945,1.18900555292114,3.52941176470588,90,86.4705882352941
0.176470588235294,0.727272727272727,"#A8B0AF",1.18900555292114,1.31336026212573,1.76470588235294,90,88.2352941176471
0.0588235294117647,0.7,"#A8B0AF",1.31336026212573,1.3548118318606,0.588235294117647,90,89.4117647058823
0.0232558139534884,0.7,"#A8B0AF",1.38971841690049,1.43116998663535,0.588235294117647,74.7058823529412,74.1176470588235
0.0465116279069767,0.713636363636364,"#A8B0AF",1.43116998663535,1.51407312610508,1.17647058823529,74.7058823529412,73.5294117647059
0.0697674418604651,0.727272727272727,"#A8B0AF",1.51407312610508,1.63842783530968,1.76470588235294,74.7058823529412,72.9411764705882
0.186046511627907,0.795454545454545,"#A8B0AF",1.63842783530968,1.9700403931886,4.70588235294118,74.7058823529412,70
0.534883720930233,1,"#A8B0AF",1.9700403931886,2.9234264970905,13.5294117647059,74.7058823529412,61.1764705882353
0.0697674418604651,0.727272727272727,"#A8B0AF",2.9234264970905,3.0477812062951,1.76470588235294,74.7058823529412,72.9411764705882
0.0465116279069767,0.713636363636364,"#A8B0AF",3.0477812062951,3.13068434576483,1.17647058823529,74.7058823529412,73.5294117647059
0.0232558139534884,0.7,"#A8B0AF",3.13068434576483,3.17213591549969,0.588235294117647,74.7058823529412,74.1176470588235
0.125,0.713636363636364,"#A8B0AF",3.20704250053958,3.28994564000931,1.17647058823529,90.5882352941177,89.4117647058824
0.25,0.740909090909091,"#A8B0AF",3.28994564000931,3.45575191894877,2.35294117647059,90.5882352941177,88.2352941176471
0.3125,0.754545454545455,"#A8B0AF",3.45575191894877,3.6630097676231,2.94117647058823,90.5882352941177,87.6470588235294
0.25,0.740909090909091,"#A8B0AF",3.6630097676231,3.82881604656256,2.35294117647059,90.5882352941177,88.2352941176471
0.0625,0.7,"#A8B0AF",3.82881604656256,3.87026761629743,0.588235294117647,90.5882352941177,90
0.75,0.727272727272727,"#A8B0AF",3.90517420133731,4.02952891054191,1.76470588235294,97.6470588235294,95.8823529411765
0.25,0.7,"#A8B0AF",4.02952891054191,4.07098048027677,0.588235294117647,97.6470588235294,97.0588235294118
0.5,0.7,"#A8B0AF",4.10588706531666,4.14733863505153,0.588235294117647,98.8235294117647,98.2352941176471
0.5,0.7,"#A8B0AF",4.14733863505153,4.18879020478639,0.588235294117647,98.8235294117647,98.2352941176471
0.25,0.7,"#B2B3B7",0,0.0414515697348653,0.588235294117647,95.2941176470588,94.7058823529412
0.5,0.723076923076923,"#B2B3B7",0.0414515697348653,0.124354709204596,1.17647058823529,95.2941176470588,94.1176470588235
0.25,0.7,"#B2B3B7",0.124354709204596,0.165806278939461,0.588235294117647,95.2941176470588,94.7058823529412
1,0.7,"#B2B3B7",0.200712863979348,0.242164433714213,0.588235294117647,93.5294117647059,92.9411764705882
0.333333333333333,0.7,"#B2B3B7",0.242164433714213,0.283616003449079,0.588235294117647,92.3529411764706,91.7647058823529
